ReleasePackageName,ReleasePackageVersion,ReleaseNumber,ReleaseARCH,ReleaseSizeBytes,ReleaseSourceRPM
fonts-filesystem,2.0.5,18.el10,noarch,0,fonts-rpm-macros-2.0.5-18.el10.src.rpm
google-noto-fonts-common,20240401,5.el10,noarch,17944,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-sans-vf-fonts,20240401,5.el10,noarch,1308528,google-noto-fonts-20240401-5.el10.src.rpm
xkeyboard-config,2.41,3.el10,noarch,6895827,xkeyboard-config-2.41-3.el10.src.rpm
default-fonts-core-sans,4.1,3.el10,noarch,12145,langpacks-4.1-3.el10.src.rpm
google-noto-sans-mono-vf-fonts,20240401,5.el10,noarch,574696,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-vf-fonts,20240401,5.el10,noarch,1592233,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-sans-devanagari-vf-fonts,20240401,5.el10,noarch,259882,google-noto-fonts-20240401-5.el10.src.rpm
hunspell-filesystem,1.7.2,9.el10,x86_64,0,hunspell-1.7.2-9.el10.src.rpm
google-noto-sans-bengali-vf-fonts,20240401,5.el10,noarch,444884,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-sans-hebrew-vf-fonts,20240401,5.el10,noarch,55730,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-sans-mono-cjk-vf-fonts,2.004,9.el10,noarch,31923208,google-noto-sans-cjk-vf-fonts-2.004-9.el10.src.rpm
mozilla-filesystem,1.9,35.el10,x86_64,0,mozilla-filesystem-1.9-35.el10.src.rpm
mobile-broadband-provider-info,20230416,7.el10,noarch,525004,mobile-broadband-provider-info-20230416-7.el10.src.rpm
foomatic-db-filesystem,4.0,83.20230810.el10,noarch,0,foomatic-db-4.0-83.20230810.el10.src.rpm
appstream-data,10,20250213.1.el10,noarch,1018154,appstream-data-10-20250213.1.el10.src.rpm
adobe-mappings-cmap,20230622,5.el10,noarch,15080934,adobe-mappings-cmap-20230622-5.el10.src.rpm
pcre2-syntax,10.44,1.el10.3,noarch,257634,pcre2-10.44-1.el10.3.src.rpm
adobe-mappings-cmap-deprecated,20230622,5.el10,noarch,596045,adobe-mappings-cmap-20230622-5.el10.src.rpm
google-noto-sans-cjk-vf-fonts,2.004,9.el10,noarch,32698083,google-noto-sans-cjk-vf-fonts-2.004-9.el10.src.rpm
default-fonts-he,4.1,3.el10,noarch,344,langpacks-4.1-3.el10.src.rpm
default-fonts-yi,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
default-fonts-as,4.1,3.el10,noarch,348,langpacks-4.1-3.el10.src.rpm
default-fonts-bn,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
default-fonts-hi,4.1,3.el10,noarch,342,langpacks-4.1-3.el10.src.rpm
default-fonts-mai,4.1,3.el10,noarch,349,langpacks-4.1-3.el10.src.rpm
default-fonts-mr,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
langpacks-fonts-en,4.1,3.el10,noarch,341,langpacks-4.1-3.el10.src.rpm
langpacks-core-en,4.1,3.el10,noarch,398,langpacks-4.1-3.el10.src.rpm
default-fonts-ast,4.1,3.el10,noarch,349,langpacks-4.1-3.el10.src.rpm
default-fonts-be,4.1,3.el10,noarch,352,langpacks-4.1-3.el10.src.rpm
default-fonts-bg,4.1,3.el10,noarch,350,langpacks-4.1-3.el10.src.rpm
default-fonts-br,4.1,3.el10,noarch,344,langpacks-4.1-3.el10.src.rpm
default-fonts-dz,4.1,3.el10,noarch,350,langpacks-4.1-3.el10.src.rpm
default-fonts-el,4.1,3.el10,noarch,342,langpacks-4.1-3.el10.src.rpm
default-fonts-eo,4.1,3.el10,noarch,350,langpacks-4.1-3.el10.src.rpm
default-fonts-eu,4.1,3.el10,noarch,344,langpacks-4.1-3.el10.src.rpm
default-fonts-ia,4.1,3.el10,noarch,354,langpacks-4.1-3.el10.src.rpm
default-fonts-ku,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
default-fonts-nb,4.1,3.el10,noarch,366,langpacks-4.1-3.el10.src.rpm
